Pattern,Problem,Source,Path,Last Reviewed (YYYY-MM-DD),Confidence (1-5),Notes
Arrays,2 Sum  Problem,StriverSDESheet,src/main/java/StriverSDESheet/Arrays_Part4/P1_2Sum_Problem.java,,,
Arrays,2 Sum Problem,Session,src/main/java/Session/May2024/Blind75/Day1_Array/P1_2SumProblem.java,,,
Arrays,3 Sum,TakeUForward,src/main/java/TakeUForward/Blind75/Array/P9_3Sum.java,,,
Arrays,add Digits,Array,src/main/java/Array/addDigits.java,,,
Arrays,add1 To Number,Array,src/main/java/Array/add1ToNumber.java,,,
Arrays,Adjacent Duplicates,Array,src/main/java/Array/AdjacentDuplicates.java,,,
Arrays,Array 1,Array,src/main/java/Array/LC/Learning/Array_1.java,,,
Arrays,Array Bug,Array,src/main/java/Array/ArrayBug.java,,,
Arrays,Array Examples,Array,src/main/java/Array/ArrayExamples.java,,,
Arrays,Array Rotation,Crack_Interview_2022,src/main/java/Crack_Interview_2022/Array/P1_ArrayRotation.java,,,
Arrays,Array Rotation,Array,src/main/java/Array/G4G/Rotations/ArrayRotation.java,,,
Arrays,Best  Time  To  Buy  Sell  Stock,TakeUForward,src/main/java/TakeUForward/Blind75/Array/P2_Best_Time_To_Buy_Sell_Stock.java,,,
Arrays,Best Time Buy And Sell Stock,Practice75Problems,src/main/java/Practice75Problems/Array/P2_BestTimeBuyAndSellStock.java,,,
Arrays,Best Time For Stock,Session,src/main/java/Session/May2024/Blind75/Day1_Array/P2_BestTimeForStock.java,,,
Arrays,Best Time Stock,Blind75,src/main/java/Blind75/S1_Array/P2_BestTimeStock.java,,,
Arrays,Best Time To Buy Sell Stock,Practice2025,src/main/java/Practice2025/Grind75/Array/P2_BestTimeToBuySellStock.java,,,
Arrays,Binary Numbers,Array,src/main/java/Array/BinaryNumbers.java,,,
Arrays,Bitwise  Class,Array,src/main/java/Array/Bitwise_Class.java,,,
Arrays,Buy And Sell Stock,StriverSDESheet,src/main/java/StriverSDESheet/Arrays_Part1/P6_BuyAndSellStock.java,,,
Arrays,Check If Array Sorted,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_1_Easy/P3_CheckIfArraySorted.java,,,
Arrays,check Rotation  Prob,CrackingCoding,src/main/java/CrackingCoding/Array/Jan_2018/checkRotation_Prob.java,,,
Arrays,combination,Array,src/main/java/Array/combination.java,,,
Arrays,compressed,CrackingCoding,src/main/java/CrackingCoding/Array/compressed.java,,,
